"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"St. Helena Council on Aging","Greensburg","LA","66273","Area Agency on Aging","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0.0954",,"0.0023",,"47.8971",,"1.1448",,"41.8387",,"0",,"633",,"277516",,"6633",,"5794",,"0",,"114384",
"Clay County","Hayesville","NC","41160","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.2918",,"0.0216",,"58.9317",,"0.9856",,"59.7956",,"0",,"15862",,"734230",,"12279",,"12459",,"0",,"226348",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","10040","HR","Heavy Rail","DO","5384","1.34",,"0.4471",,"280.3574",,"93.5404",,"2.9972",,"0.7558",,"2703907746",,"6047953647",,"2017881703",,"21572297",,"8001949426",,"343813756",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","10040","MB","Bus","DO","3214","0.9914",,"0.1814",,"262.5034",,"48.0333",,"5.465",,"2.2707",,"565695988",,"3118485221",,"570625248",,"11879789",,"1373347948",,"83176381",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","10040","DR","Demand Response","PT","876","1.8914",,"0.0091",,"248.1712",,"1.194",,"207.8556",,"22.7655",,"5138039",,"564652967",,"2716563",,"2275256",,"24803017",,"22534535",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","10040","CB","Commuter Bus","DO","443","5.7331",,"0.1811",,"471.6048",,"14.8968",,"31.6582",,"2.0984",,"51571661",,"284777119",,"8995368",,"603847",,"135709719",,"9699486",
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","10040","RB","Bus Rapid Transit","DO","123","0.6412",,"0.1811",,"250.0056",,"70.6302",,"3.5396",,"2.0292",,"20380061",,"112504538",,"31784162",,"450008",,"55443548",,"2979357",
"New Jersey Transit Corporation","Newark","NJ","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","3282","MB","Bus","DO","1750","2.5652",,"0.2759",,"211.7408",,"22.77",,"9.2991",,"1.2826",,"299807518",,"1086818730",,"116873208",,"5132779",,"847330635",,"74142623",
"New Jersey Transit Corporation","Newark","NJ","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","3282","CR","Commuter Rail","DO","866","7.062",,"0.2887",,"717.2725",,"29.3226",,"24.4614",,"0.9894",,"379678065",,"1315131399",,"53763513",,"1833517",,"1329182885",,"59506194",
"New Jersey Transit Corporation","Newark","NJ","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","3282","DR","Demand Response","PT","372","1.8723",,"0.0217",,"135.5394",,"1.5684",,"86.4204",,"13.1023",,"2780608",,"128346967",,"1485146",,"946935",,"9795763",,"15530626",
