Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
CNG,Metropolitan Atlanta Rapid Transit Authority,2424 Piedmont Rd NE,,Atlanta,GA,30324,,,E,,Private - Government only,,,,Q,3000,,,,,,,200-8,33.821911,-84.367461,2024-02-12,45,2025-02-12 00:16:32 UTC,LG,,,1996-12-15,,LD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,30,,,,,,,,,Q,3000,LD,,,,,,,,,,,LD,,
CNG,Metropolitan Atlanta Rapid Transit Authority,1600 Perry Blvd NW,,Atlanta,GA,30318,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-9,33.789934,-84.441488,2024-02-12,1332,2025-02-12 00:16:32 UTC,LG,,,1996-12-15,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,1200,,,,,,,,,Q,3600,HD,,,,,,,,,,,HD,,
LPG,Blossman Gas Inc,1990 Joe Frank Harris Pkwy NW,"4 miles W of I-75 between exit 126 and exit 127, N of Cartersville",Cartersville,GA,30121,,770-386-6268,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.231469,-84.855059,2024-10-11,13597,2025-02-12 00:16:32 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,2635 E Highway 16,"From Highway 29-27, go 7 miles east on Highway 16 toward Senoia",Sharpsburg,GA,30277,,770-253-4344,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,33.330208,-84.696877,2024-10-11,13602,2025-02-12 00:16:32 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Georgia Gas Distributors Inc,1475 Old Chattahoochee Ave,,Atlanta,GA,30318,,404-497-1600,E,,Public - Call ahead,7:30am-4pm M-F,A Cash D M V,,,,,,,,,,200-9,33.795583,-84.416951,2024-12-10,13603,2025-02-12 00:16:32 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,4319 Mundy Mill Rd,"Off Highway 53 W, 2 miles on left",Oakwood,GA,30566,,770-318-9658,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.25143680939097,-83.89017841468046,2024-10-11,13618,2025-02-12 00:16:32 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FLEET_GARAGE,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,1375 E Highway 166,East side of Highway 166,Bowdon,GA,30108,,706-587-7283,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,33.560932,-85.225441,2024-10-11,14932,2025-02-12 00:16:32 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Blossman Gas Inc,2876 W Point Rd,Off US Highway 29,LaGrange,GA,30240,,706-882-7672,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),ALLIANCE Cash Checks M V,,,,,,,,,,200-9,33.01729,-85.098307,2024-10-11,14937,2025-02-12 00:16:32 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Folger Gas - Blue Ridge LLC,4955 Appalachian Hwy,Just north of the Windy Ridge exit on Highway 515,Blue Ridge,GA,30513,,706-632-7606,E,,Public,8am-5pm M-F,A Cash D M V,,,,,,,,,,200-9,34.876234,-84.309163,2024-10-11,15185,2025-02-12 00:16:32 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME,,,,,,,,false,,,,,,,,HD,,
LPG,U-Haul,4360 Covington Hwy,0.25 mile outside of I-285,Decatur,GA,30035,,4042840918,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,33.749436,-84.22583,2025-05-12,19507,2025-05-12 16:14:03 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
