stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,100,"CROSSROADS & INNOVATION WB",,32.156422,-81.213893,,,,,,2
2,1001,"37th & E BROAD WB",,32.055231,-81.092559,,,,,,2
3,1003,"AL HENDERSON & BEST WESTERN NB",,32.006254,-81.279101,,,,,,2
4,1004,"AL HENDERSON & CLARION HOTEL NB",,32.007112,-81.276349,,,,,,2
5,1005,"AL HENDERSON & LINKS AT GEORGETOWN EB",,32.005518,-81.274388,,,,,,2
6,1007,"AL HENDERSON & RED ROOF INN EB",,32.004145,-81.274332,,,,,,2
7,1008,"E BROAD & 35th NB",,32.057080,-81.092124,,,,,,2
8,1009,"E BROAD & 33rd NB",,32.058282,-81.091688,,,,,,2
9,101,"CROSSROADS & KNOWLTON WB",,32.152206,-81.226648,,,,,,2
10,1011,"AL HENDERSON & OAKMOUNT EB",,32.002166,-81.261173,,,,,,2
11,1012,"AL HENDERSON & POTTER'S PLACE EB",,32.002449,-81.258398,,,,,,2
12,1013,"AL HENDERSON &  BROWN THRUSH EB",,32.004338,-81.255574,,,,,,2
13,1014,"AL HENDERSON & SAVANNAH CHRISTIAN EB",,32.005845,-81.250827,,,,,,2
14,1015,"E BROAD & ANDERSON LANE NB",,32.060077,-81.091028,,,,,,2
17,1018,"OGEECHEE & OLD GROVE POINT NB",,32.003269,-81.244746,,,,,,2
18,1019,"OGEECHEE & COHEN NB",,32.004429,-81.243515,,,,,,2
19,102,"AIRWAYS & CROSSROADS EB",,32.138728,-81.233194,,,,,,2
20,1020,"OGEECHEE & BURTON NB",,32.011640,-81.234502,,,,,,2
22,1023,"HENRY & HABERSHAM WB",,32.062105,-81.093402,,,,,,2
23,1025,"HENRY & BARNARD WB",,32.063846,-81.099967,,,,,,2
24,1026,"HENRY & MONTGOMERY WB",,32.064365,-81.102076,,,,,,2
25,1028,"OGEECHEE & BERWICK NB",,32.022809,-81.226271,,,,,,2
26,103,"SAV AIRPORT & AIRWAYS AVE",,32.136847,-81.210279,,,,,,2
27,1030,"OGEECHEE & COTTONVALE NB",,32.028837,-81.221666,,,,,,2
28,1031,"OGECHEE & MOOSE NB",,32.034425,-81.217453,,,,,,2
29,1032,"OGEECHEE & DERRICK INN NB",,32.036698,-81.215453,,,,,,2
30,1033,"OGEECHEE & DEAN FOREST NB",,32.039228,-81.207892,,,,,,2
31,1034,"W ANDERSON & MLK WB",,32.063970,-81.103810,,,,,,2
32,1036,"OGEECHEE & SALT CREEK NB",,32.040316,-81.200080,,,,,,2
33,1039,"OGEECHEE & TOWER NB",,32.041733,-81.192156,,,,,,2
34,104,"ROBERT B. MILLER & GULFSTREAM SB",,32.141133,-81.197749,,,,,,2
35,1040,"OGEECHEE & SANDMAN HOTEL NB",,32.042617,-81.188647,,,,,,2
36,1041,"OGEECHEE & PALM HARBOR HOMES NB",,32.043112,-81.186679,,,,,,2
37,1042,"OGEECHEE & BUCKHALTER NB",,32.043752,-81.184127,,,,,,2
38,1043,"OGEECHEE & 31st SB",,32.063879,-81.106470,,,,,,2
39,1044,"OGEECHEE & CHEVRON NB",,32.044869,-81.179628,,,,,,2
40,1045,"OGEECHEE & RIDGE NB",,32.045969,-81.175044,,,,,,2
41,1048,"OGEECHEE & HEATHCOTE NB",,32.046860,-81.171332,,,,,,2
42,1049,"OGEECHEE & HERNANDEZ COLLISION NB",,32.047392,-81.169205,,,,,,2
43,1050,"OGEECHEE & 35th SB",,32.061607,-81.109790,,,,,,2
44,1051,"OGEECHEE & 37th SB",,32.060296,-81.111704,,,,,,2
45,1052,"OGEECHEE & 39th SB",,32.058905,-81.113694,,,,,,2
46,1054,"W 41st & HOPKINS EB",,32.057177,-81.114311,,,,,,2
47,1055,"HOPKINS & VICTORY SB",,32.056266,-81.114533,,,,,,2
48,1056,"HOPKINS & 45th SB",,32.054507,-81.115160,,,,,,2
49,1058,"HOPKINS & 49th SB",,32.051769,-81.116180,,,,,,2
50,1059,"AMARANTH & CAITHNESS EB",,32.050892,-81.115686,,,,,,2
51,1061,"STEVENS & 51st SB",,32.049714,-81.115391,,,,,,2
52,1063,"OGEECHEE & THUNDERBIRD HOTEL NB",,32.050382,-81.156313,,,,,,2
53,1064,"OGEECHEE & SECURE STORAGE NB",,32.051417,-81.151675,,,,,,2
54,1066,"OGEECHEE & 24 FITNESS NB",,32.053127,-81.144473,,,,,,2
55,1068,"OGEECHEE & RED AND WHITE NB",,32.054999,-81.137026,,,,,,2
56,1069,"OGEECHEE & TREMONT NB",,32.055890,-81.132547,,,,,,2
58,1070,"OGECHEE & DAWES NB",,32.056683,-81.126355,,,,,,2
59,1074,"OGEECHEE & 39th NB",,32.058932,-81.113577,,,,,,2
61,1083,"MLK & GWINNETT NB",,32.068502,-81.101673,,,,,,2
62,1084,"MLK & HALL NB",,32.069507,-81.101322,,,,,,2
63,1085,"MLK & HUNTINGDON NB",,32.070540,-81.100929,,,,,,2
64,1086,"MLK & GASTON NB",,32.071527,-81.100578,,,,,,2
65,1087,"MLK & TAYLOR NB",,32.072945,-81.100057,,,,,,2
66,1088,"MLK & CHARLTON NB",,32.074569,-81.099429,,,,,,2
67,1089,"HODGSON MEMORIAL & MALL WAY SB",,32.000441,-81.113716,,,,,,2
83,111,"BRAMPTON & HWY 21 WB",,32.105658,-81.151271,,,,,,2
104,113,"WESTSIDE SHOPPING CENTER",,32.095525,-81.144355,,,,,,2
113,114,"W BAY & ALBION EB",,32.094621,-81.135962,,,,,,2
129,1155,"ANDERSON & WATERS EB",,32.058077,-81.081962,,,,,,2
130,1156,"PENN WALLER & JOHNNY MERCER SB",,32.017336,-80.976494,,,,,,2
131,1157,"WALTHOUR & JOHNNY MERCER NB",,32.023556,-80.965925,,,,,,2
132,1158,"HENRY & WATERS WB",,32.058849,-81.081440,,,,,,2
133,116,"AUGUSTA & E LATHROP EB",,32.080040,-81.112693,,,,,,2
134,1161,"PRICE & HARRIS SB",,32.072427,-81.088647,,,,,,2
135,1162,"PRICE & JONES SB",,32.071116,-81.089115,,,,,,2
136,1163,"PRICE & GORDON SB",,32.069761,-81.089647,,,,,,2
137,1164,"PRICE & HUNTINGDON SB",,32.067769,-81.090381,,,,,,2
138,1165,"PRICE & GWINNETT SB",,32.065947,-81.091062,,,,,,2
139,1166,"HABERSHAM & GWINNETT SB",,32.065767,-81.092211,,,,,,2
140,1167,"HABERSHAM & WALDBURG SB",,32.064439,-81.092711,,,,,,2
141,1168,"HABERSHAM & PARK SB",,32.063003,-81.093200,,,,,,2
142,117,"AUGUSTA & E LATHROP WB",,32.080192,-81.113162,,,,,,2
143,1170,"ANDERSON & E BROAD EB",,32.060526,-81.090997,,,,,,2
144,1171,"ANDERSON & LE GRAND EB",,32.059934,-81.088921,,,,,,2
145,1172,"ANDERSON & ATLANTIC EB",,32.059665,-81.087900,,,,,,2
146,1174,"ANDERSON & HARMON EB",,32.058598,-81.084047,,,,,,2
147,1175,"ANDERSON & LIVE OAK EB",,32.057530,-81.079897,,,,,,2
148,1176,"ANDERSON & CEDAR EB",,32.057046,-81.078120,,,,,,2
149,1178,"ANDERSON & DIETER EB",,32.056175,-81.074822,,,,,,2
150,1179,"ANDERSON & BEE EB",,32.055816,-81.073343,,,,,,2
151,118,"TUTEN & RANKIN NB",,32.093489,-81.120088,,,,,,2
152,1182,"ANDERSON & SKIDAWAY EB",,32.055116,-81.068352,,,,,,2
153,1183,"SKIDAWAY & DURANT SB",,32.053429,-81.067182,,,,,,2
154,1185,"SKIDAWAY & AVALON SB",,32.050153,-81.065480,,,,,,2
155,1187,"SKIDAWAY & 38th SB",,32.046276,-81.064214,,,,,,2
156,1188,"SKIDAWAY & 40th SB",,32.044445,-81.063735,,,,,,2
162,1194,"HWY 80 & MAPMAKER EB",,32.040157,-80.996510,,,,,,2
163,1195,"BRYAN WOODS & STONEBRIDGE SB",,32.035347,-80.991594,,,,,,2
164,1196,"BRYAN WOODS & MARSH HARBOR SB",,32.030818,-80.994594,,,,,,2
165,1197,"BRYAN WOODS & JOHNNY MERCER NB",,32.027531,-80.998873,,,,,,2
166,1198,"JOHNNY MERCER & TURNER ROCK EB",,32.022266,-80.995185,,,,,,2
167,1199,"JOHNNY MERCER & WILM ISLAND EB",,32.014580,-80.985910,,,,,,2
169,1200,"JOHNNY MERCER & SEA ISLAND EB",,32.014137,-80.981933,,,,,,2
170,1201,"JOHNNY MERCER & SHIPWRECK EB",,32.016064,-80.979080,,,,,,2
171,1202,"PENNWALLER & PORT ROYAL SB",,32.013700,-80.974861,,,,,,2
172,1203,"PENN WALLER & DEERWOOD SB",,32.010288,-80.973323,,,,,,2
173,1204,"PENN WALLER & OLD TOWNE SB",,32.005960,-80.971297,,,,,,2
174,1205,"PENN WALLER & TRAFFORD SB",,32.003724,-80.970258,,,,,,2
175,1206,"PENN WALLER & WALTHOUR SB",,32.001614,-80.969229,,,,,,2
176,1207,"WALTHOUR & CRISP EB",,32.003954,-80.966142,,,,,,2
177,1208,"WALTHOUR & BOB WHITE EB",,32.007101,-80.962395,,,,,,2
178,1209,"WALTHOUR & OEMLER EB",,32.010194,-80.958786,,,,,,2
179,121,"BRAMPTON & ELM WB",,32.106853,-81.149270,,,,,,2
180,1210,"WALTHOUR & PALMETTO COVE NB",,32.013237,-80.959749,,,,,,2
181,1212,"JOHNNY MERCER & QUARTERMAN WB",,32.022455,-80.969330,,,,,,2
182,1213,"JOHNNY MERCER & FORTILLA WB",,32.020304,-80.973034,,,,,,2
183,1214,"JOHNNY MERCER & PENN WALLER WB",,32.018324,-80.976429,,,,,,2
184,1215,"JOHNNY MERCER & SHIPWRECK WB",,32.016297,-80.978846,,,,,,2
185,1216,"JOHNNY MERCER & VILLAGE CTR WB",,32.014030,-80.983167,,,,,,2
186,1217,"JOHNNY MERCER & BP GAS STA EB",,32.014741,-80.986080,,,,,,2
187,1218,"JOHNNY MERCER & TURNER ROCK WB",,32.022305,-80.995017,,,,,,2
188,1219,"JOHNNY MERCER &  WILMINTON ISL RD",,32.015361,-80.986919,,,,,,2
