trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1011020,7F,1,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3602,shp-7F-02,2,2
1014020,10,1,"E SAVANNAH",,1,202,shp-10-01,2,1
1018020,3B,1,"AUGUSTA AVE",,0,1502,shp-3B-56,2,1
1025020,25,1,"MLK",,0,1702,shp-25-53,2,1
1076070,7F,3,"VICTORY",,0,3807,shp-7F-51,2,2
108070,17,3,"SILK HOPE",,0,1307,shp-17-51,2,1
1083070,5,3,"PORT WENTWORTH",,0,2807,shp-5-51,2,1
1086020,27,1,"WATERS",,1,2002,shp-27-05,2,1
1087070,7D,3,"CLOVERDALE CARVER VILLAGE",,0,3507,shp-7D-C-51,2,2
1091020,10,1,"E SAVANNAH",,0,102,shp-10-53,2,1
1113020,14,1,"ABERCORN",,1,1102,shp-14-12,2,1
1116070,7F,3,"VICTORY",,0,3707,shp-7F-51,2,2
1137080,7D,2,"CLOVERDALE CARVER VILLAGE",,0,3508,shp-7D-C-51,2,2
1143020,6,1,"CROSS TOWN",,0,3202,shp-6-51,2,2
1145020,7F,1,"VICTORY",,0,3702,shp-7F-51,2,2
1148020,7F,1,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3702,shp-7F-02,2,2
1149020,7D,1,"CLOVERDALE CARVER VILLAGE",,1,3502,shp-7D-C-02,2,1
1154020,7D,1,"CLOVERDALE CARVER VILLAGE",,0,3402,shp-7D-C-52,2,1
1155080,7F,2,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3908,shp-7F-02,2,2
117070,7D,3,"CLOVERDALE CARVER VILLAGE",,1,3507,shp-7D-C-02,2,1
1177080,3B,2,"AUGUSTA AVE",,0,1508,shp-3B-55,2,1
1179080,7D,2,"CLOVERDALE CARVER VILLAGE",,0,3508,shp-7D-C-51,2,2
119020,6,1,"CROSS TOWN",,0,3202,shp-6-51,2,2
1193020,7D,1,"CLOVERDALE CARVER VILLAGE",,0,3502,shp-7D-C-51,2,2
1215020,7F,1,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3702,shp-7F-02,2,2
1222070,3B,3,"AUGUSTA AVE",,0,1507,shp-3B-56,2,1
123080,31,2,"SKIDAWAY/SANDFLY",,0,2408,shp-31-51,2,1
1232070,7D,3,"CLOVERDALE CARVER VILLAGE",,1,3507,shp-7D-C-02,2,1
1243070,31,3,"SKIDAWAY/SANDFLY",,0,2407,shp-31-51,2,1
1248020,17,1,"SILK HOPE",,0,1302,shp-17-51,2,1
1256080,7D,2,"CLOVERDALE CARVER VILLAGE",,0,3408,shp-7D-C-52,2,1
126020,7D,1,"CLOVERDALE CARVER VILLAGE",,0,3402,shp-7D-C-52,2,1
1267020,10,1,"E SAVANNAH",,1,202,shp-10-01,2,1
1274080,25,2,"MLK",,0,1608,shp-25-54,2,1
1281020,3B,1,"AUGUSTA AVE",,0,1502,shp-3B-56,2,1
1289080,17,2,"SILK HOPE",,1,1308,shp-17-01,2,1
1290070,14,3,"ABERCORN",,1,507,shp-14-11,2,1
1293070,31,3,"SKIDAWAY/SANDFLY",,0,2507,shp-31-51,2,1
1296080,27,2,"WATERS",,0,2008,shp-27-53,2,1
1303010,31,4,"SKIDAWAY/SANDFLY",,0,2401,shp-31-51,2,1
131020,14,1,"ABERCORN",,1,602,shp-14-12,2,1
1315020,7F,1,"VICTORY",,0,3602,shp-7F-51,2,2
1319080,27,2,"WATERS",,1,1908,shp-27-02,2,1
133080,6,2,"CROSS TOWN",,1,3108,shp-6-01,2,2
1335010,7D,4,"CLOVERDALE CARVER VILLAGE",,1,3401,shp-7D-C-01,2,1
1350020,7D,1,"CLOVERDALE CARVER VILLAGE",,1,3402,shp-7D-C-01,2,1
1356020,28,1,"WATERS",,1,2102,shp-28-03,2,1
1371020,7D,1,"CLOVERDALE CARVER VILLAGE",,0,3402,shp-7D-C-52,2,1
1373020,7D,1,"CLOVERDALE CARVER VILLAGE",,0,3402,shp-7D-C-52,2,1
138070,14,3,"ABERCORN",,1,807,shp-14-11,2,1
1387080,25,2,"MLK",,1,1708,shp-25-01,2,1
1389080,12,2,"HENRY",,0,408,shp-12-53,2,2
1401020,10,1,"E SAVANNAH",,0,202,shp-10-52,2,1
1402080,7F,2,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3708,shp-7F-02,2,2
1425080,7D,2,"CLOVERDALE CARVER VILLAGE",,0,3408,shp-7D-C-52,2,1
1426080,10,2,"E SAVANNAH",,1,108,shp-10-01,2,1
1436080,27,2,"WATERS",,1,2008,shp-27-05,2,1
1440010,7F,4,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3601,shp-7F-02,2,2
1442020,7F,1,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3702,shp-7F-02,2,2
1445080,17,2,"SILK HOPE",,0,1308,shp-17-51,2,1
1455020,7F,1,"VICTORY",,0,3802,shp-7F-51,2,2
1458020,17,1,"SILK HOPE",,1,1402,shp-17-01,2,1
1473080,7D,2,"CLOVERDALE CARVER VILLAGE",,0,3508,shp-7D-C-51,2,2
1480070,5,3,"PORT WENTWORTH",,0,2907,shp-5-51,2,1
1482070,25,3,"MLK",,1,1707,shp-25-01,2,1
1485070,3,3,"WEST CHATHAM",,1,2207,shp-3-04,2,1
1499010,7F,4,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3701,shp-7F-02,2,2
1507020,6,1,"CROSS TOWN",,0,3302,shp-6-51,2,2
1510020,10,1,"E SAVANNAH",,1,102,shp-10-01,2,1
1512020,27,1,"WATERS",,1,1902,shp-27-05,2,1
1514080,7D,2,"CLOVERDALE CARVER VILLAGE",,1,3408,shp-7D-C-01,2,1
1517010,31,4,"SKIDAWAY/SANDFLY ",,1,2401,shp-31-01,2,1
1518070,3B,3,"AUGUSTA AVE",,1,1507,shp-3B-06,2,1
152070,5,3,"PORT WENTWORTH",,1,2807,shp-5-01,2,1
1528020,25,1,"MLK",,0,1602,shp-25-53,2,1
1529010,7D,4,"CLOVERDALE CARVER VILLAGE",,1,3501,shp-7D-C-02,2,1
1531080,7D,2,"CLOVERDALE CARVER VILLAGE",,0,3408,shp-7D-C-53,2,1
1001020,14,1,"ABERCORN",,1,1002,shp-14-12,2,1
1005070,7F,3,"VICTORY",,0,3607,shp-7F-51,2,2
1023020,25,1,"MLK",,0,1602,shp-25-55,2,1
1029080,7D,2,"CLOVERDALE CARVER VILLAGE",,0,3508,shp-7D-C-51,2,2
1048080,25,2,"MLK",,1,1608,shp-25-01,2,1
1051010,10,4,"E SAVANNAH",,0,101,shp-10-52,2,1
1058020,27,1,"WATERS",,1,1902,shp-27-02,2,1
1065010,10,4,"E SAVANNAH",,1,101,shp-10-03,2,1
1070,7D,3,"CLOVERDALE CARVER VILLAGE",,0,3407,shp-7D-C-52,2,1
1071020,7F,1,"VICTORY",,0,3802,shp-7F-51,2,2
1072080,3B,2,"AUGUSTA AVE",,1,1508,shp-3B-05,2,1
1080010,5,4,"PORT WENTWORTH",,1,2801,shp-5-01,2,1
1088020,31,1,"SKIDAWAY/SANDFLY",,0,2502,shp-31-51,2,1
1089020,10,1,"E SAVANNAH",,0,102,shp-10-53,2,1
1094020,6,1,"CROSS TOWN",,0,3102,shp-6-51,2,2
1097020,3,1,"WEST CHATHAM",,0,2302,shp-3-52,2,1
1100010,14,4,"ABERCORN",,0,601,shp-14-63,2,1
1101070,7F,3,"VICTORY",,0,3607,shp-7F-51,2,2
1102080,7D,2,"CLOVERDALE CARVER VILLAGE",,1,3408,shp-7D-C-01,2,1
111080,31,2,"SKIDAWAY/SANDFLY",,0,2408,shp-31-51,2,1
1117070,25,3,"MLK",,0,1707,shp-25-54,2,1
1123020,17,1,"SILK HOPE",,0,1402,shp-17-51,2,1
1129080,14,2,"ABERCORN",,1,608,shp-14-11,2,1
1163020,25,1,"MLK",,1,1702,shp-25-04,2,1
1164070,12,3,"HENRY",,0,407,shp-12-53,2,2
1165020,25,1,"MLK",,1,1602,shp-25-05,2,1
1167020,5,1,"PORT WENTWORTH",,1,2902,shp-5-02,2,1
1174070,5,3,"PORT WENTWORTH",,1,2907,shp-5-01,2,1
1187020,7D,1,"CLOVERDALE CARVER VILLAGE",,1,3402,shp-7D-C-01,2,1
1201020,14,1,"ABERCORN",,0,802,shp-14-64,2,1
1217070,3B,3,"AUGUSTA AVE",,1,1507,shp-3B-05,2,1
1218010,25,4,"MLK",,0,1601,shp-25-54,2,1
1224080,7F,2,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3708,shp-7F-02,2,2
1225070,10,3,"E SAVANNAH",,0,207,shp-10-53,2,1
1227080,25,2,"MLK",,1,1608,shp-25-01,2,1
1230080,27,2,"WATERS",,1,1908,shp-27-05,2,1
1241010,7F,4,"VICTORY",,0,3701,shp-7F-51,2,2
125010,7D,4,"CLOVERDALE CARVER VILLAGE",,0,3501,shp-7D-C-51,2,2
1261010,27,4,"WATERS",,0,1901,shp-27-53,2,1
1265020,4,1,"BARNARD",,1,2702,shp-4-04,2,1
1276080,5,2,"PORT WENTWORTH",,1,2808,shp-5-01,2,1
1006010,12,4,"HENRY",,0,401,shp-12-53,2,2
1010070,7D,3,"CLOVERDALE CARVER VILLAGE",,0,3407,shp-7D-C-52,2,1
1019070,28,3,"WATERS",,0,2107,shp-28-53,2,1
1039080,7F,2,"FORSYTH PARK FARE FREE SHUTTLE (BRYAN & BULL)",,1,3708,shp-7F-02,2,2
1041010,10,4,"E SAVANNAH",,1,101,shp-10-03,2,1
1043020,5,1,"PORT WENTWORTH",,0,2902,shp-5-51,2,1
1055070,3,3,"WEST CHATHAM",,0,2207,shp-3-52,2,1
