trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,1000,1,06:15:00,06:15:00,1,13.305639660016157
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,remix-99304544,2,06:17:00,06:17:00,0,582.3505338376218
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,9-Aug,3,06:17:00,06:17:00,0,946.0369949248006
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,6-13-7-17,4,06:18:00,06:18:00,0,1231.1890571351173
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,19-Jul,5,06:18:00,06:18:00,0,1443.671488649355
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,22-Jul,6,06:19:00,06:19:00,0,1614.0211503933604
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,25-Jul,7,06:19:00,06:19:00,0,1788.8193446410648
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,27-Jul,8,06:19:00,06:19:00,0,1896.6783404753116
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,30-Jul,9,06:20:00,06:20:00,0,2179.5219361414447
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-32,10,06:20:00,06:20:00,0,2462.1117761412233
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,remix-99304562,11,06:21:00,06:21:00,0,2633.343302234607
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-41,12,06:21:00,06:21:00,0,2844.6829405080343
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-44,13,06:22:00,06:22:00,0,3063.734878730998
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-49,14,06:22:00,06:22:00,0,3259.5522987765676
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-53,15,06:22:00,06:22:00,0,3513.964209239878
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-57,16,06:23:00,06:23:00,0,3746.827182602804
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-60,17,06:23:00,06:23:00,0,3979.633634790919
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-63,18,06:24:00,06:24:00,0,4163.948548091881
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-65,19,06:24:00,06:24:00,0,4536.058517818845
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-68,20,06:25:00,06:25:00,0,4977.96760163357
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-73,21,06:27:00,06:27:00,0,5682.9758300333815
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-75,22,06:27:00,06:27:00,1,6004.147371175595
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-76,23,06:28:00,06:28:00,0,6385.177596214694
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-80,24,06:29:00,06:29:00,0,7230.414458934994
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-83,25,06:30:00,06:30:00,0,7753.836813977976
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-85,26,06:31:00,06:31:00,0,8063.388262928749
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-88,27,06:31:00,06:31:00,0,8307.527424025791
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-92,28,06:32:00,06:32:00,0,8607.095810544244
Service_Period-Weekday-1a52834b-A-OB-0615-e55cb90,Jul-94,29,06:32:00,06:32:00,0,8749.02019430984
