stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code
1000,,Albany Transit Center,31.57502,-84.15422,,,
remix-99304544,,Highland Ave./ Westbrook Ave.,31.573856,-84.157366,,,
9-Aug,,Highland Ave / S Madison St,31.573847,-84.161205,,,
6-13-7-17,,Highland Ave / S Davis St,31.573837,-84.164215,,,
19-Jul,,S Davis St / W Whitney Ave,31.572396,-84.164832,,,
22-Jul,,S Davis St / W Mercer Ave,31.570864,-84.164831,,,
25-Jul,,S Davis St / W Lincoln Ave,31.569292,-84.164828,,,
27-Jul,,S Davis St / W Gordon Ave,31.568322,-84.164826,,,
30-Jul,,W Gordon Ave / S Van Buren St,31.568144,-84.167539,,,
Jul-32,,W Gordon Ave / S Harding St,31.568149,-84.170521,,,
remix-99304562,,S Harding St./Cotton St.,31.567073,-84.171367,,,
Jul-41,,S Harding St / Cherry Ave,31.565172,-84.171118,,,
Jul-44,,S Harding St / Dorsett Ave,31.563245,-84.171188,,,
Jul-49,,S Harding St / Odom Ave,31.561484,-84.171172,,,
Jul-53,,S Harding St / Lippitt Dr,31.559196,-84.171178,,,
Jul-57,,Lippitt Dr @ Monroe Hight School,31.559002,-84.168867,,,
Jul-60,,Lippitt Dr / S McKinley St,31.559018,-84.16641,,,
Jul-63,,Newton Rd / Tulsa Ln,31.558083,-84.166544,,,
Jul-65,,Newton Rd @ Southside Middle School,31.555405,-84.168753,,,
Jul-68,,Newton Rd @ Albany Tech,31.552335,-84.171616,,,
Jul-73,,Habersham Rd / Willow Wood Dr,31.547148,-84.173073,,,
Jul-75,,Habersham Rd / Randolph St,31.54452,-84.17375,,,
Jul-76,,Randolph St / Newton Rd,31.54443,-84.177614,,,
Jul-80,,S Slappey Blvd @ Health Dept,31.551268,-84.176567,,,
Jul-83,,S Slappey Blvd / Industry Ave,31.555974,-84.176436,,,
Jul-85,,Lippitt Dr / S Slappey Blvd,31.558757,-84.176356,,,
Jul-88,,S Slappey Blvd/Cedar Ave,31.560952,-84.176296,,,
Jul-92,,S Slappey Blvd/ Holloway Ave,31.563645,-84.17622,,,
Jul-94,,S Slappey Blvd / Cherry Ave,31.564921,-84.176182,,,
Jul-98,,S Slappey Blvd / W Gordon Ave,31.56744,-84.176114,,,
7-108,,W Whitney Ave / S Slappey Blvd,31.57222,-84.1774,,,
7-109,,W Whitney Ave / Poplar St,31.57224,-84.17927,,,
7-112,,Poplar St / Edgerly Ave,31.573415,-84.179359,,,
5-65-6-31-7-118,,Brooks Plaza,31.576601,-84.181001,,,
remix-99304542,,W Broad Ave./ AACSB,31.57684,-84.177718,,,
7-124,,S Slappey Blvd / Highland Ave,31.573091,-84.17631,,,
7-130,,S Slappey Blvd / Avalon Ave,31.569611,-84.17631,,,
7-135,,S Slappey Blvd / W Waddell Ave,31.56607,-84.17638,,,
7-139,,S Slappey Blvd @ McDonal's,31.563223,-84.176438,,,
